Trade mark office,Trade mark status,Registration date,Last office data update,
GB,Registered,13-03-2026,United Kingdom - 17.06.2026,
AU,Filed,,Australia - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Registered,26-05-2026,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
WO,Registered,20-11-2025,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
GB,Registered,20-02-2026,United Kingdom - 17.06.2026,
GB,Registered,03-04-2026,United Kingdom - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
GB,Filed,,United Kingdom - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Registered,20-02-2026,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,29-08-2025,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
WO,Registered,18-12-2025,WIPO - 17.06.2026,
GB,Registered,05-12-2025,United Kingdom - 17.06.2026,
NZ,Filed,,New Zealand - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Registered,16-03-2026,WIPO - 17.06.2026,
WO,Registered,24-03-2026,WIPO - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
US,Filed,12-09-2025,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Registered,26-05-2026,United States - 17.06.2026,
WO,Registered,29-08-2025,WIPO - 17.06.2026,
GB,Registered,05-06-2026,United Kingdom - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
GB,Registered,19-12-2025,United Kingdom - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
WO,Filed,,WIPO - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Registered,31-03-2026,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,,United States - 17.06.2026,
US,Filed,12-12-2025,United States - 17.06.2026,
WO,Filed,,WIPO - 17.06.2026,
WO,Registered,30-01-2026,WIPO - 17.06.2026,
AU,Filed,,Australia - 17.06.2026,
AU,Filed,,Australia - 17.06.2026,
CA,Filed,,Canada - 11.06.2026,
GB,Registered,20-02-2026,United Kingdom - 17.06.2026,
GB,Registered,09-01-2026,United Kingdom - 17.06.2026,
WO,Registered,17-12-2025,WIPO - 17.06.2026,
WO,Registered,22-08-2025,WIPO - 17.06.2026,
,,,,
